id,source,target,ph,ratio,
0,1,11,60.000000,0.003077,
1,1,27,60.000000,0.003077,
2,6,80,60.000000,0.003077,
3,3,8,150.000000,0.003077,
4,4,10,150.000000,0.003077,
5,1,13,150.000000,0.003077,
6,5,42,150.000000,0.003077,
7,7,47,150.000000,0.003077,
8,9,60,150.000000,0.003077,
9,9,61,150.000000,0.003077,
10,9,62,150.000000,0.003077,
11,9,63,150.000000,0.003077,
12,9,64,150.000000,0.003077,
13,9,65,150.000000,0.003077,
14,9,66,150.000000,0.003077,
15,9,67,150.000000,0.003077,
16,9,68,150.000000,0.003077,
17,9,69,150.000000,0.003077,
18,9,70,150.000000,0.003077,
19,9,71,150.000000,0.003077,
20,9,72,150.000000,0.003077,
21,9,73,150.000000,0.003077,
22,9,74,150.000000,0.003077,
23,9,75,150.000000,0.003077,
24,9,76,150.000000,0.003077,
25,9,77,150.000000,0.003077,
26,15,79,150.000000,0.003077,
27,12,82,150.000000,0.003077,
28,16,85,150.000000,0.003077,
29,17,87,150.000000,0.003077,
30,18,89,150.000000,0.003077,
31,19,91,150.000000,0.003077,
32,20,93,150.000000,0.003077,
33,21,94,150.000000,0.003077,
34,22,95,150.000000,0.003077,
35,9,96,150.000000,0.003077,
36,9,97,150.000000,0.003077,
37,9,98,150.000000,0.003077,
38,78,99,150.000000,0.003077,
39,78,100,150.000000,0.003077,
40,78,101,150.000000,0.003077,
41,78,102,150.000000,0.003077,
42,78,103,150.000000,0.003077,
43,78,104,150.000000,0.003077,
44,78,105,150.000000,0.003077,
45,78,106,150.000000,0.003077,
46,78,107,150.000000,0.003077,
47,78,108,150.000000,0.003077,
48,78,109,150.000000,0.003077,
49,78,110,150.000000,0.003077,
50,81,111,150.000000,0.003077,
51,81,112,150.000000,0.003077,
52,81,113,150.000000,0.003077,
53,81,114,150.000000,0.003077,
54,81,115,150.000000,0.003077,
55,81,116,150.000000,0.003077,
56,81,117,150.000000,0.003077,
57,81,118,150.000000,0.003077,
58,81,119,150.000000,0.003077,
59,81,120,150.000000,0.003077,
60,81,121,150.000000,0.003077,
61,81,122,150.000000,0.003077,
62,83,123,150.000000,0.003077,
63,83,124,150.000000,0.003077,
64,83,125,150.000000,0.003077,
65,83,126,150.000000,0.003077,
66,83,127,150.000000,0.003077,
67,83,128,150.000000,0.003077,
68,83,129,150.000000,0.003077,
69,83,130,150.000000,0.003077,
70,83,131,150.000000,0.003077,
71,83,132,150.000000,0.003077,
72,83,133,150.000000,0.003077,
73,83,134,150.000000,0.003077,
74,83,135,150.000000,0.003077,
75,83,136,150.000000,0.003077,
76,84,137,150.000000,0.003077,
77,84,138,150.000000,0.003077,
78,84,139,150.000000,0.003077,
79,84,140,150.000000,0.003077,
80,84,141,150.000000,0.003077,
81,84,142,150.000000,0.003077,
82,84,143,150.000000,0.003077,
83,84,144,150.000000,0.003077,
84,84,145,150.000000,0.003077,
85,84,146,150.000000,0.003077,
86,84,147,150.000000,0.003077,
87,84,148,150.000000,0.003077,
88,84,149,150.000000,0.003077,
89,84,150,150.000000,0.003077,
90,84,151,150.000000,0.003077,
91,84,152,150.000000,0.003077,
92,84,153,150.000000,0.003077,
93,84,154,150.000000,0.003077,
94,86,155,150.000000,0.003077,
95,86,156,150.000000,0.003077,
96,86,157,150.000000,0.003077,
97,86,158,150.000000,0.003077,
98,86,159,150.000000,0.003077,
99,86,160,150.000000,0.003077,
100,86,161,150.000000,0.003077,
101,86,162,150.000000,0.003077,
102,86,163,150.000000,0.003077,
103,86,164,150.000000,0.003077,
104,86,165,150.000000,0.003077,
105,86,166,150.000000,0.003077,
106,86,167,150.000000,0.003077,
107,86,168,150.000000,0.003077,
108,88,169,150.000000,0.003077,
109,88,170,150.000000,0.003077,
110,88,171,150.000000,0.003077,
111,88,172,150.000000,0.003077,
112,88,173,150.000000,0.003077,
113,88,174,150.000000,0.003077,
114,88,175,150.000000,0.003077,
115,88,176,150.000000,0.003077,
116,88,177,150.000000,0.003077,
117,88,178,150.000000,0.003077,
118,88,179,150.000000,0.003077,
119,88,180,150.000000,0.003077,
120,88,181,150.000000,0.003077,
121,88,182,150.000000,0.003077,
122,90,183,150.000000,0.003077,
123,90,184,150.000000,0.003077,
124,90,185,150.000000,0.003077,
125,90,186,150.000000,0.003077,
126,90,187,150.000000,0.003077,
127,90,188,150.000000,0.003077,
128,90,189,150.000000,0.003077,
129,90,190,150.000000,0.003077,
130,90,191,150.000000,0.003077,
131,90,192,150.000000,0.003077,
132,90,193,150.000000,0.003077,
133,90,194,150.000000,0.003077,
134,90,195,150.000000,0.003077,
135,90,196,150.000000,0.003077,
136,90,197,150.000000,0.003077,
137,92,198,150.000000,0.003077,
138,92,199,150.000000,0.003077,
139,92,200,150.000000,0.003077,
140,92,201,150.000000,0.003077,
141,92,202,150.000000,0.003077,
142,92,203,150.000000,0.003077,
143,92,204,150.000000,0.003077,
144,92,205,150.000000,0.003077,
145,92,206,150.000000,0.003077,
146,92,207,150.000000,0.003077,
147,92,208,150.000000,0.003077,
148,92,209,150.000000,0.003077,
149,92,210,150.000000,0.003077,
150,92,211,150.000000,0.003077,
151,92,212,150.000000,0.003077,
152,26,213,150.000000,0.003077,
153,25,214,150.000000,0.003077,
154,23,215,150.000000,0.003077,
155,23,216,150.000000,0.003077,
156,59,218,150.000000,0.003077,
157,58,220,150.000000,0.003077,
158,57,222,150.000000,0.003077,
159,56,224,150.000000,0.003077,
160,55,225,150.000000,0.003077,
161,55,226,150.000000,0.003077,
162,54,227,150.000000,0.003077,
163,53,228,150.000000,0.003077,
164,53,229,150.000000,0.003077,
165,52,230,150.000000,0.003077,
166,52,231,150.000000,0.003077,
167,51,233,150.000000,0.003077,
168,50,234,150.000000,0.003077,
169,50,235,150.000000,0.003077,
170,49,236,150.000000,0.003077,
171,49,237,150.000000,0.003077,
172,48,238,150.000000,0.003077,
173,46,241,150.000000,0.003077,
174,45,242,150.000000,0.003077,
175,45,243,150.000000,0.003077,
176,44,244,150.000000,0.003077,
177,24,245,150.000000,0.003077,
178,43,246,150.000000,0.003077,
179,41,247,150.000000,0.003077,
180,40,248,150.000000,0.003077,
181,40,249,150.000000,0.003077,
182,39,250,150.000000,0.003077,
183,38,251,150.000000,0.003077,
184,37,252,150.000000,0.003077,
185,36,253,150.000000,0.003077,
186,35,254,150.000000,0.003077,
187,34,255,150.000000,0.003077,
188,34,256,150.000000,0.003077,
189,33,257,150.000000,0.003077,
190,33,258,150.000000,0.003077,
191,32,259,150.000000,0.003077,
192,32,260,150.000000,0.003077,
193,31,261,150.000000,0.003077,
194,30,262,150.000000,0.003077,
195,30,263,150.000000,0.003077,
196,29,264,150.000000,0.003077,
197,28,265,150.000000,0.003077,
198,240,266,150.000000,0.003077,
199,240,267,150.000000,0.003077,
200,240,268,150.000000,0.003077,
201,240,269,150.000000,0.003077,
202,240,270,150.000000,0.003077,
203,240,271,150.000000,0.003077,
204,240,272,150.000000,0.003077,
205,240,273,150.000000,0.003077,
206,240,274,150.000000,0.003077,
207,240,275,150.000000,0.003077,
208,219,276,150.000000,0.003077,
209,219,277,150.000000,0.003077,
210,219,278,150.000000,0.003077,
211,219,279,150.000000,0.003077,
212,219,280,150.000000,0.003077,
213,219,281,150.000000,0.003077,
214,219,282,150.000000,0.003077,
215,219,283,150.000000,0.003077,
216,219,284,150.000000,0.003077,
217,219,285,150.000000,0.003077,
218,219,286,150.000000,0.003077,
219,232,287,150.000000,0.003077,
220,232,288,150.000000,0.003077,
221,232,289,150.000000,0.003077,
222,232,290,150.000000,0.003077,
223,232,291,150.000000,0.003077,
224,232,292,150.000000,0.003077,
225,232,293,150.000000,0.003077,
226,232,294,150.000000,0.003077,
227,232,295,150.000000,0.003077,
228,232,296,150.000000,0.003077,
229,232,297,150.000000,0.003077,
230,217,298,150.000000,0.003077,
231,217,299,150.000000,0.003077,
232,217,300,150.000000,0.003077,
233,217,301,150.000000,0.003077,
234,217,302,150.000000,0.003077,
235,217,303,150.000000,0.003077,
236,221,304,150.000000,0.003077,
237,221,305,150.000000,0.003077,
238,221,306,150.000000,0.003077,
239,221,307,150.000000,0.003077,
240,221,308,150.000000,0.003077,
241,221,309,150.000000,0.003077,
242,239,310,150.000000,0.003077,
243,239,311,150.000000,0.003077,
244,239,312,150.000000,0.003077,
245,239,313,150.000000,0.003077,
246,239,314,150.000000,0.003077,
247,239,315,150.000000,0.003077,
248,239,316,150.000000,0.003077,
249,239,317,150.000000,0.003077,
250,223,318,150.000000,0.003077,
251,223,319,150.000000,0.003077,
252,223,320,150.000000,0.003077,
253,223,321,150.000000,0.003077,
254,223,322,150.000000,0.003077,
255,223,323,150.000000,0.003077,
256,223,324,150.000000,0.003077,
257,223,325,150.000000,0.003077,
258,223,326,150.000000,0.003077,
259,2,6,150.000000,0.006173,
260,1,21,150.000000,0.006173,
261,1,22,150.000000,0.006173,
262,1,24,150.000000,0.006173,
263,1,25,150.000000,0.006173,
264,1,26,150.000000,0.006173,
265,5,36,150.000000,0.006173,
266,5,38,150.000000,0.006173,
267,5,39,150.000000,0.006173,
268,5,43,150.000000,0.006173,
269,7,44,150.000000,0.006173,
270,7,46,150.000000,0.006173,
271,7,51,150.000000,0.006173,
272,7,54,150.000000,0.006173,
273,7,56,150.000000,0.006173,
274,7,57,150.000000,0.006173,
275,7,58,150.000000,0.006173,
276,7,59,150.000000,0.006173,
277,1,23,150.000000,0.009288,
278,5,30,150.000000,0.009288,
279,5,32,150.000000,0.009288,
280,5,33,150.000000,0.009288,
281,5,34,150.000000,0.009288,
282,5,40,150.000000,0.009288,
283,7,45,150.000000,0.009288,
284,7,49,150.000000,0.009288,
285,7,50,150.000000,0.009288,
286,7,52,150.000000,0.009288,
287,7,53,150.000000,0.009288,
288,7,55,150.000000,0.009288,
289,35,217,150.000000,0.021944,
290,37,221,150.000000,0.021944,
291,5,35,150.000000,0.028391,
292,5,37,150.000000,0.028391,
293,41,239,150.000000,0.028391,
294,48,223,150.000000,0.031646,
295,5,41,150.000000,0.034921,
296,28,240,150.000000,0.034921,
297,7,48,150.000000,0.038217,
298,29,219,150.000000,0.038217,
299,31,232,150.000000,0.038217,
300,5,28,150.000000,0.041534,
301,15,78,150.000000,0.041534,
302,12,81,150.000000,0.041534,
303,5,29,150.000000,0.044872,
304,5,31,150.000000,0.044872,
305,1,12,150.000000,0.048232,
306,1,15,150.000000,0.048232,
307,14,83,150.000000,0.048232,
308,17,86,150.000000,0.048232,
309,18,88,150.000000,0.048232,
310,1,14,150.000000,0.051613,
311,19,90,150.000000,0.051613,
312,20,92,150.000000,0.051613,
313,1,17,150.000000,0.055016,
314,1,18,150.000000,0.055016,
315,1,19,150.000000,0.058442,
316,1,20,150.000000,0.058442,
317,16,84,150.000000,0.061889,
318,1,16,150.000000,0.068852,
319,4,9,150.000000,0.072368,
320,1,4,150.000000,0.079470,
321,3,7,150.000000,0.172662,
322,1,3,150.000000,0.181159,
323,2,5,150.000000,0.411255,
324,1,2,150.000000,0.429825,
